"specificEpithet","decimalLatitude","decimalLongitude"
"bifarius",45.32514,-121.63603
"bifarius",46.9026,-121.6412
"bifarius",40.34765,-121.59498
"bifarius",40.53531,-121.56235
"bifarius",40.9896,-121.57859
"bifarius",41.58154,-121.59888
"bifarius",45.4179,-121.5713
"bifarius",45.4935,-121.587
"bifarius",45.5379,-121.56841
"bifarius",40.45738,-121.50303
"bifarius",44.32278,-121.51037
"bifarius",44.66956,-121.54589
"bifarius",45.70444,-121.5069
"bifarius",46.88,-121.51
"bifarius",46.90314,-121.53564
"bifarius",40.48593,-121.49006
"bifarius",40.50872,-121.46603
"bifarius",44.0421,-121.4731
"bifarius",45.31706,-121.46923
"bifarius",40.49293,-121.42331
"bifarius",42.81903,-121.44723
"bifarius",44.13956,-121.41559
"bifarius",46.1509,-121.4475
"bifarius",40.37833,-121.35206
"bifarius",40.4808,-121.3835
"bifarius",42.35403,-121.39722
"bifarius",46.63835,-121.38967
"bifarius",39.69049,-121.33909
"bifarius",39.93794,-121.30857
"bifarius",40.55149,-121.31952
"bifarius",46.58721,-121.31584
"bifarius",46.8718,-121.3042
"bifarius",43.7153,-121.2755
"bifarius",44.76345,-121.26616
"bifarius",46.9649,-121.2664
"bifarius",37.49886,-121.24929
"bifarius",39.86051,-121.22217
"bifarius",46.67569,-121.20056
"bifarius",39.88667,-121.19028
"bifarius",39.90657,-121.16196
"bifarius",40.25266,-121.16135
"bifarius",46.9757,-121.158
"bifarius",39.56405,-121.1069
"bifarius",39.94156,-121.13552
"bifarius",39.95892,-121.13446
"bifarius",41.55198,-121.12358
"bifarius",46.6565,-121.12952
"bifarius",39.91514,-121.06074
"bifarius",40.11035,-121.08143
"bifarius",40.49211,-121.09274
"bifarius",45.17512,-121.08144
"bifarius",46.94638,-121.06777
"bifarius",46.95328,-121.08599
"bifarius",47.404,-121.09703
"bifarius",47.74622,-121.08593
"bifarius",39.93749,-121.02235
"bifarius",40.306,-121.00579
"bifarius",39.71449,-120.97715
"bifarius",40.48275,-120.95779
"bifarius",42.7477,-120.9801
"bifarius",47.7697,-120.9808
"bifarius",39.93694,-120.94611
"bifarius",40.61917,-120.91389
"bifarius",46.82067,-120.93952
"bifarius",47.1956,-120.938
"bifarius",39.79572,-120.88189
"bifarius",47.6084,-120.8573
"bifarius",39.02017,-120.81798
"bifarius",45.82295,-120.819
"bifarius",48.62165,-120.83583
"bifarius",39.21295,-120.78103
"bifarius",47.0986,-120.751
"bifarius",47.12277,-120.75081
"bifarius",39.06,-120.73
"bifarius",39.68399,-120.71061
"bifarius",48.51906,-120.73407
"bifarius",39.30045,-120.66826
"bifarius",39.67795,-120.65577
"bifarius",39.76073,-120.69549
"bifarius",46.73111,-120.6983
"bifarius",47.25389,-120.6642
"bifarius",48.7422,-120.68
"bifarius",39.6135,-120.6323
"bifarius",39.68765,-120.64267
"bifarius",39.78111,-120.61556
"bifarius",39.98268,-120.62881
"bifarius",46.7717,-120.627
"bifarius",47.23635,-120.64364
"bifarius",35.85944,-120.5992
"bifarius",38.90308,-120.56124
"bifarius",39.33214,-120.57983
"bifarius",47.33556,-120.5778
"bifarius",39.30167,-120.54583
"bifarius",39.61879,-120.52215
"bifarius",41.4523,-120.5085
"bifarius",48.59934,-120.54421
"bifarius",38.29483,-120.49432
"bifarius",39.62,-120.49
"bifarius",44.41374,-120.49723
"bifarius",46.69484,-120.49201
"bifarius",38.92462,-120.40353
"bifarius",39.4904,-120.4167
"bifarius",39.6664,-120.4386
"bifarius",44.39547,-120.42031
"bifarius",47.63764,-120.44181
"bifarius",48.59958,-120.43676
"bifarius",37.98417,-120.38111
"bifarius",39.32657,-120.39298
"bifarius",39.3558,-120.3917
"bifarius",39.4882,-120.37105
"bifarius",39.5915,-120.3674
"bifarius",39.79417,-120.37472
"bifarius",44.44333,-120.3925
"bifarius",47.31544,-120.37869
"bifarius",39.301676,-120.328533
"bifarius",39.41323,-120.32048
"bifarius",39.5427,-120.3158
"bifarius",41.16478,-120.31529
"bifarius",41.70479,-120.3026
"bifarius",41.8976,-120.34752
"bifarius",41.9491,-120.3166
"bifarius",42.1836,-120.349
"bifarius",46.38085,-120.31494
"bifarius",47.4217,-120.3093
"bifarius",38.7549,-120.26796
"bifarius",38.93713,-120.2545
"bifarius",39.45157,-120.29048
"bifarius",41.449896,-120.251057
"bifarius",41.4518,-120.251
"bifarius",41.56167,-120.26889
"bifarius",41.87194,-120.29083
"bifarius",47.12639,-120.27964
"bifarius",47.19944,-120.2758
"bifarius",38.84935,-120.23213
"bifarius",39.179,-120.228
"bifarius",39.32446,-120.23295
"bifarius",39.38825,-120.22331
